"feature with direction by activity and by subject" "feature with direction" "activity" "subject" "average of means" "average of standard deviations"
"acceleration of body y standing 12" "acceleration of body in direction y" "standing" "12" "-0.0169002543196721" "-0.923140254098361"
"acceleration of body y standing 13" "acceleration of body in direction y" "standing" "13" "-0.0167891993964912" "-0.949422439473684"
"acceleration of body y standing 14" "acceleration of body in direction y" "standing" "14" "-0.01520781344" "-0.928525725333333"
"acceleration of body y standing 15" "acceleration of body in direction y" "standing" "15" "-0.0183516360396226" "-0.931900148301887"
"acceleration of body y standing 16" "acceleration of body in direction y" "standing" "16" "-0.0165999672935897" "-0.960298267692308"
"acceleration of body y standing 17" "acceleration of body in direction y" "standing" "17" "-0.0174120064169231" "-0.968176663717949"
"acceleration of body y standing 18" "acceleration of body in direction y" "standing" "18" "-0.0166353518150685" "-0.95422343630137"
"acceleration of body y standing 19" "acceleration of body in direction y" "standing" "19" "-0.0154244056945205" "-0.944430270684931"
"acceleration of body y standing 20" "acceleration of body in direction y" "standing" "20" "-0.0180695049161644" "-0.87541041109589"
"acceleration of body y standing 21" "acceleration of body in direction y" "standing" "21" "-0.0167084730205618" "-0.943601625393258"
"acceleration of body y standing 22" "acceleration of body in direction y" "standing" "22" "-0.0158563207496825" "-0.922693288412698"
"acceleration of body y standing 23" "acceleration of body in direction y" "standing" "23" "-0.0177475547867647" "-0.9584444925"
"acceleration of body y standing 24" "acceleration of body in direction y" "standing" "24" "-0.0144785340348986" "-0.936871974347826"
"acceleration of body y standing 25" "acceleration of body in direction y" "standing" "25" "-0.0163569730274324" "-0.954569225945946"
"acceleration of body y standing 26" "acceleration of body in direction y" "standing" "26" "-0.0166608306652703" "-0.949466155405405"
"acceleration of body y standing 27" "acceleration of body in direction y" "standing" "27" "-0.016593236445" "-0.955171419"
"acceleration of body y standing 28" "acceleration of body in direction y" "standing" "28" "-0.0172635124672152" "-0.875689216835443"
"acceleration of body y standing 29" "acceleration of body in direction y" "standing" "29" "-0.0172605869061538" "-0.969295721076923"
"acceleration of body y standing 30" "acceleration of body in direction y" "standing" "30" "-0.0170163887813559" "-0.891654527118644"
"acceleration of body y walking 1" "acceleration of body in direction y" "walking" "1" "-0.0173838185273684" "0.114461336747368"
"acceleration of body y walking 2" "acceleration of body in direction y" "walking" "2" "-0.0185949199145763" "-0.0780912533118644"
"acceleration of body y walking 3" "acceleration of body in direction y" "walking" "3" "-0.0171767844203448" "-0.0699140652103448"
"acceleration of body y walking 4" "acceleration of body in direction y" "walking" "4" "-0.0148399475341667" "-0.0788267367683333"
"acceleration of body y walking 5" "acceleration of body in direction y" "walking" "5" "-0.0172850317482679" "0.0767484028053571"
"acceleration of body y walking 6" "acceleration of body in direction y" "walking" "6" "-0.0168954189082456" "0.164213884996491"
"acceleration of body y walking 7" "acceleration of body in direction y" "walking" "7" "-0.018653665345614" "-0.0772618561052631"
"acceleration of body y walking 8" "acceleration of body in direction y" "walking" "8" "-0.0186628865310417" "0.380782052708333"
"acceleration of body y walking 9" "acceleration of body in direction y" "walking" "9" "-0.0180891971284423" "-0.201696960826923"
"acceleration of body y walking 10" "acceleration of body in direction y" "walking" "10" "-0.017022351190566" "-0.0227431651698113"
"acceleration of body y walking 11" "acceleration of body in direction y" "walking" "11" "-0.0166475833623729" "-0.0522120750440678"
"acceleration of body y walking 12" "acceleration of body in direction y" "walking" "12" "-0.015560927606" "-0.122783290008"
"acceleration of body y walking 13" "acceleration of body in direction y" "walking" "13" "-0.0185660651947368" "0.141866689392982"
"acceleration of body y walking 14" "acceleration of body in direction y" "walking" "14" "-0.0217785380966102" "-0.0536126686650847"
"acceleration of body y walking 15" "acceleration of body in direction y" "walking" "15" "-0.0170809740090741" "0.138912923691296"
"acceleration of body y walking 16" "acceleration of body in direction y" "walking" "16" "-0.0204286929452941" "-0.314569762352941"
"acceleration of body y walking 17" "acceleration of body in direction y" "walking" "17" "-0.0184875403339344" "-0.0175797885542623"
"acceleration of body y walking 18" "acceleration of body in direction y" "walking" "18" "-0.0178023631866071" "-0.227005874892857"
"acceleration of body y walking 19" "acceleration of body in direction y" "walking" "19" "-0.0191773587903846" "0.181801561185577"
"acceleration of body y walking 20" "acceleration of body in direction y" "walking" "20" "-0.021199992245098" "0.489771808627451"
"acceleration of body y walking 21" "acceleration of body in direction y" "walking" "21" "-0.0181610317526923" "0.0540880509209615"
"acceleration of body y walking 22" "acceleration of body in direction y" "walking" "22" "-0.0167213607957174" "0.100384246321739"
"acceleration of body y walking 23" "acceleration of body in direction y" "walking" "23" "-0.0183618711932203" "-0.119020586510678"
"acceleration of body y walking 24" "acceleration of body in direction y" "walking" "24" "-0.0225446400534483" "-0.154127498163793"
"acceleration of body y walking 25" "acceleration of body in direction y" "walking" "25" "-0.0186477624716216" "-0.161852411581081"
"acceleration of body y walking 26" "acceleration of body in direction y" "walking" "26" "-0.0154259586949153" "-0.136351391645763"
"acceleration of body y walking 27" "acceleration of body in direction y" "walking" "27" "-0.0166478783221912" "-0.187301214964912"
"acceleration of body y walking 28" "acceleration of body in direction y" "walking" "28" "-0.0156759722981481" "-0.117886186425926"
"acceleration of body y walking 29" "acceleration of body in direction y" "walking" "29" "-0.0162915600588679" "-0.0917540612869811"
"acceleration of body y walking 30" "acceleration of body in direction y" "walking" "30" "-0.0175880385730769" "-0.173550021692308"
"acceleration of body y walkingdownstairs 1" "acceleration of body in direction y" "walkingdownstairs" "1" "-0.00991850461020408" "-0.0319359434489796"
"acceleration of body y walkingdownstairs 2" "acceleration of body in direction y" "walkingdownstairs" "2" "-0.0226614158361702" "0.262881788951064"
"acceleration of body y walkingdownstairs 3" "acceleration of body in direction y" "walkingdownstairs" "3" "-0.0193554079328571" "-0.0331503723387755"
"acceleration of body y walkingdownstairs 4" "acceleration of body in direction y" "walkingdownstairs" "4" "-0.00980200850666667" "-0.21859832499"
"acceleration of body y walkingdownstairs 5" "acceleration of body in direction y" "walkingdownstairs" "5" "-0.00850107533191489" "0.0907630761042553"
"acceleration of body y walkingdownstairs 6" "acceleration of body in direction y" "walkingdownstairs" "6" "-0.019536840063125" "0.360164958768542"
"acceleration of body y walkingdownstairs 7" "acceleration of body in direction y" "walkingdownstairs" "7" "-0.0166332372978723" "-0.138179072734043"
"acceleration of body y walkingdownstairs 8" "acceleration of body in direction y" "walkingdownstairs" "8" "-0.0211058674973684" "0.343826273105263"
"acceleration of body y walkingdownstairs 9" "acceleration of body in direction y" "walkingdownstairs" "9" "-0.0203994269075476" "-0.208310705504762"
"acceleration of body y walkingdownstairs 10" "acceleration of body in direction y" "walkingdownstairs" "10" "-0.0200050770710526" "0.00407915363157895"
"acceleration of body y walkingdownstairs 11" "acceleration of body in direction y" "walkingdownstairs" "11" "-0.0178097721219565" "0.0708122725543478"
"acceleration of body y walkingdownstairs 12" "acceleration of body in direction y" "walkingdownstairs" "12" "-0.018084266865793" "0.11083534373913"
"acceleration of body y walkingdownstairs 13" "acceleration of body in direction y" "walkingdownstairs" "13" "-0.0143723839108511" "-0.03212524665"
"acceleration of body y walkingdownstairs 14" "acceleration of body in direction y" "walkingdownstairs" "14" "-0.0200141413657778" "0.378870491755556"
"acceleration of body y walkingdownstairs 15" "acceleration of body in direction y" "walkingdownstairs" "15" "-0.00563047804309524" "0.186532377428571"
"acceleration of body y walkingdownstairs 16" "acceleration of body in direction y" "walkingdownstairs" "16" "-0.0183898583787234" "-0.146993837655319"
"acceleration of body y walkingdownstairs 17" "acceleration of body in direction y" "walkingdownstairs" "17" "-0.0167359404347826" "-0.0607892037384783"
"acceleration of body y walkingdownstairs 18" "acceleration of body in direction y" "walkingdownstairs" "18" "-0.0168666920221818" "-0.254214045818182"
"acceleration of body y walkingdownstairs 19" "acceleration of body in direction y" "walkingdownstairs" "19" "-0.0145942275069487" "0.514816445641026"
"acceleration of body y walkingdownstairs 20" "acceleration of body in direction y" "walkingdownstairs" "20" "-0.00964120773155556" "0.616937015333333"
"acceleration of body y walkingdownstairs 21" "acceleration of body in direction y" "walkingdownstairs" "21" "-0.0173195390157778" "0.301336399711111"
"acceleration of body y walkingdownstairs 22" "acceleration of body in direction y" "walkingdownstairs" "22" "-0.0197999371686389" "0.239812250944444"
"acceleration of body y walkingdownstairs 23" "acceleration of body in direction y" "walkingdownstairs" "23" "-0.0162111457238889" "0.10825903416963"
"acceleration of body y walkingdownstairs 24" "acceleration of body in direction y" "walkingdownstairs" "24" "-0.0145730348310909" "-0.102607326783636"
"acceleration of body y walkingdownstairs 25" "acceleration of body in direction y" "walkingdownstairs" "25" "-0.0210170522987931" "-0.14054060387069"
"acceleration of body y walkingdownstairs 26" "acceleration of body in direction y" "walkingdownstairs" "26" "-0.01262580966778" "-0.011629910112"
"acceleration of body y walkingdownstairs 27" "acceleration of body in direction y" "walkingdownstairs" "27" "-0.0135564467159091" "-0.0979710029522727"
"acceleration of body y walkingdownstairs 28" "acceleration of body in direction y" "walkingdownstairs" "28" "-0.0220230465913043" "0.156496646504348"
"acceleration of body y walkingdownstairs 29" "acceleration of body in direction y" "walkingdownstairs" "29" "-0.01494121505625" "-0.12246346700625"
"acceleration of body y walkingdownstairs 30" "acceleration of body in direction y" "walkingdownstairs" "30" "-0.0174383900204839" "-0.0272628077709677"
"acceleration of body y walkingupstairs 1" "acceleration of body in direction y" "walkingupstairs" "1" "-0.0239531492643396" "-0.00232026501698113"
"acceleration of body y walkingupstairs 2" "acceleration of body in direction y" "walkingupstairs" "2" "-0.0214121132045833" "0.108027279889583"
"acceleration of body y walkingupstairs 3" "acceleration of body in direction y" "walkingupstairs" "3" "-0.0324109410555932" "0.0116280813372881"
"acceleration of body y walkingupstairs 4" "acceleration of body in direction y" "walkingupstairs" "4" "-0.0319804295729615" "-0.0666899105180769"
